CREATED_DATE,SPECIES,LATITUDE,LONGITUDE
2016 Feb 09 09:03:00 AM,MAGPIES,-35.33763585,149.0351941
2016 Feb 11 01:24:00 PM,MAGPIES,-35.24514576,149.1253632
2016 Feb 12 03:23:00 AM,BRUSHTAIL POSSUM,-35.33273421,149.1510864
2016 Feb 12 03:37:00 AM,SWAMP WALLABY,-35.73708171,148.9967456
2016 Feb 12 08:29:00 PM,DUCK,-35.29747789,149.1438993
2016 Feb 12 11:37:00 AM,RED NECKED WALLABY,-35.70924815,149.0126986
2016 Feb 12 12:57:00 PM,BLUE TONGUE LIZARD,-35.40522562,149.1297124
2016 Feb 14 02:40:00 PM,BROWN SNAKE,-35.30268539,149.1806175
2016 Feb 14 05:18:00 PM,BROWN SNAKE,-35.28019656,149.1135297
2016 Feb 15 06:18:00 AM,EASTERN GREY KANGAROO,-35.28291218,149.1523525
2016 Feb 15 09:54:00 AM,SWAN,-35.40855771,149.0630795
2016 Feb 15 10:00:00 AM,PARROT,-35.23906118,149.0708846
2016 Feb 16 01:54:00 PM,BROWN SNAKE,-35.3241498,149.157605
2016 Feb 16 02:11:00 PM,RED NECKED WALLABY,-35.36817513,149.0608466
2016 Feb 16 07:33:00 AM,SWAMP WALLABY,-35.22720284,149.1191966
2016 Feb 16 09:03:00 AM,WALLAROO,-35.4199086,149.0688941
2016 Feb 16 09:24:00 AM,BRUSHTAIL POSSUM,-35.26229885,149.11265
2016 Feb 16 09:29:00 AM,BLUE TONGUE LIZARD,-35.30965713,149.1123293
2016 Feb 17 01:37:00 PM,MAGPIES,-35.45833041,149.0821124
2016 Feb 17 09:56:00 AM,BLUE TONGUE LIZARD,-35.37708395,149.105197
2016 Feb 17 10:39:00 AM,BRUSHTAIL POSSUM,-35.2041414,149.0166279
2016 Feb 18 04:45:00 PM,SWAN,-35.28788958,149.1262412
2016 Feb 18 07:54:00 AM,BROWN SNAKE,-35.2801244,149.1331525
2016 Feb 18 08:59:00 AM,SWAMP WALLABY,-35.24762652,149.0272087
2016 Feb 18 09:07:00 AM,EASTERN GREY KANGAROO,-35.22781972,149.0606212
2016 Feb 18 09:11:00 AM,BROWN SNAKE,-35.19764775,149.14149
2016 Feb 18 09:12:00 AM,SWAN,-35.17438675,149.1330551
2016 Feb 18 11:39:00 AM,PARROT,-35.53103686,149.0657712
2016 Feb 19 01:11:00 PM,BRUSHTAIL POSSUM,-35.40356,149.0899116
2016 Feb 19 06:29:00 AM,SWAMP WALLABY,-35.26455618,149.086135
2016 Feb 19 12:22:00 PM,BROWN SNAKE,-35.33443202,149.0497325
2016 Feb 21 03:47:00 PM,BROWN SNAKE,-35.39908987,149.0588184
2016 Feb 22 02:20:00 PM,WALLAROO,-35.444642,149.0936814
2016 Feb 22 02:41:00 PM,BROWN SNAKE,-35.38840176,149.1706174
2016 Feb 22 09:48:00 AM,MAGPIES,-35.24766262,149.073312
2016 Feb 23 04:03:00 PM,BROWN SNAKE,-35.41383798,149.1295977
2016 Feb 23 10:51:00 AM,BROWN SNAKE,-35.33400569,149.1506679
2016 Feb 23 10:52:00 AM,BRUSHTAIL POSSUM,-35.32670653,149.1523293
2016 Feb 24 03:11:00 PM,BRUSHTAIL POSSUM,-35.26684841,149.125767
2016 Feb 24 04:16:00 PM,BROWN SNAKE,-35.32929796,149.1690935
2016 Feb 24 11:54:00 AM,BRUSHTAIL POSSUM,-35.3162676,149.1201064
2016 Feb 24 12:21:00 PM,BROWN SNAKE,-35.32124902,149.055532
2016 Feb 24 12:23:00 PM,BRUSHTAIL POSSUM,-35.3398556,149.0888522
2016 Feb 24 12:41:00 PM,SWAMP WALLABY,-35.38752508,149.030274
2016 Feb 25 08:14:00 AM,GALAH,-35.35649684,149.1689173
